Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Getting into the Mind of the Hiring Manager (2020),"Even when technology plays a role in the hiring process, those systems are programmed by people who have their own ideas, biases, and assumptions about what makes a candidate the best fit for the role. Understanding the psychology of the job search can give candidates a distinct advantage. Career expert Dawn Graham explores the mind of the typical hiring manager, providing insight that can help candidates create a targeted job search strategy and land an offer.",Course,2021-04-20 15:28 UTC,N/A,false,N/A,
Excel: Managing and Analyzing Data (2022),"Ready to start working with spreadsheets like a pro? Join Excel MVP Oz du Soleil as he shares how to clean, organize, and analyze large amounts of data with ease using commands, features, and functions within Microsoft Excel. Instead of focusing on pure analysis (forecasting, running regressions, etc.), Oz covers how to use built-in Excel tools to prepare your data for analysis and extract the information that supports your mission.<br><br>Oz dedicates the first portion of the course to an often-overlooked part of data analysis: checking data quality. He then steps through how to prepare your data for analysis by setting it up into sortable, filterable columns and rows. Next, Oz shares how to work with multiple data sets at once; sort and filter data; and use functions to isolate and analyze data. Plus, learn how to work with the newest features in Excel, including Power Query and dynamic arrays, which make it so much easier to get what you need from your data without clumsy, complicated, and delicate formulas. With these techniques, you'll be prepared to quickly and effectively extract important information from even your largest spreadsheets.",Course,2025-04-04 11:29 UTC,N/A,true,N/A,
Rock Your LinkedIn Profile (2019),"Explore how to create a LinkedIn profile that brings your personal career story to life, whether you’re just starting out, seeking to advance, or making a career change. Instructor Lauren Jolda—head of the ""Rock Your Profile"" team at LinkedIn—offers tips on tailoring each section, starting with the key insight that a LinkedIn profile is unique and shouldn’t be approached exactly like a resume. Lauren covers ways to add media to a profile, methods for showcasing your career accomplishments and aspirations, and specific examples of profile phrases and language that can help inspire your personal story.",Course,2021-05-03 20:11 UTC,N/A,false,N/A,
Photoshop 2021 Essential Training: Photography,"Whether you’re a professional photographer or just someone who wants to improve your image-making skills, this course can help you take your images to the next level and get the results that you want using Photoshop 2021. Julieanne Kost brings you up to speed with Photoshop, showing you how to make tonal and color adjustments using adjustment layers and Smart Objects. She shares how to create both realistic and surreal composites, retouch distracting elements from images, and increase productivity when working with templates. Plus, discover how to enhance color and tone both globally and locally, use libraries to store content, work with Artboards, export and share images, and more.",Course,2021-06-01 03:48 UTC,N/A,false,N/A,
Cinema 4D R20 Essential Training: VFX,"Cinema 4D has become an essential tool in the production pipeline and offers a fantastic set of features for building visual effects (VFX). In this course, you can explore the Cinema 4D workflow for creating VFX and integrating them into live action shots. Instructor Andy Needham starts with an overview of VFX, including inspiring examples you may have seen in major Hollywood films. He discusses the importance of motion tracking and gets hands on, showing how to track and solve a shot using the C4D Motion Tracker. He also covers importing and optimizing models with the Polygon Reduction and Level of Detail (LOD) tools; animating geometry and cameras; creating materials; and lighting 3D shots. In the final chapter, Andy shows how to perform projection mapping with Projection Man, break apart objects with Voronoi Fracture, and set up and composite multipass renders. When you’re ready, you can take the challenge at the end of the course to test your new skills.",Course,2022-03-29 07:06 UTC,N/A,false,N/A,
Digital Marketing Foundations (2021),"Digital marketing tools and techniques are constantly evolving. In this course, instructor Brad Batesole helps you keep up with this fast-moving field, covering what you need to know to help your business cut through the noise, engage potential customers, and adapt with the times. Brad begins by discussing the building blocks of online marketing, including how it's used, where it's been, and where it's headed. He then steps through how to define your value proposition, identify your target market, and establish your goals and KPIs. Next, he covers how customers evaluate the entirety of a brand's online presence, as well as how to decide on a marketing channel, optimize your website, and leverage SEO, paid advertising, and social media to help your target audience find you. Plus, learn how to develop an email marketing plan, get started with video marketing, and create easy-to-understand marketing reports that help you assess your progress.<br><br>Note: The previous version of this course was titled <i>Online Marketing Foundations</i>.",Course,2022-01-03 10:53 UTC,N/A,false,N/A,
1 Person Crew Video Productions: 2 The Cinematic Look,"Businesses of all sizes need better ways to offer their products and services to the world, and video is clearly the new language of brand communication. But you don't need a full crew and expensive gear to create stellar video productions. In this course, the second installment in the <i>1 Person Crew Video Productions</i> series, Emmy Award-winning filmmaker Eduardo Angel shows you how to tackle video productions when you're working solo. Using practical examples gleaned from his own experiences on set, Eduardo shows how to approach all stages of the production process—from pre-production to post—as well as how to add a cinematic look to your videos. Learn how to plan a multicamera production, increase production value through camera movement, and create cinematic lighting on a budget. Plus, get tips for adding great music and sound effects, saving time and money in post-production, and more.",Course,2022-04-14 14:45 UTC,N/A,false,N/A,
Google Ads Essential Training (2020),"Learn the foundations of pay-per-click (PPC) advertising with Google Ads (formerly known as AdWords) the industry-leading PPC platform. First, explore how Google Ads works and how it fits with what your business—and your customers—need. Then learn how to set up a new Google Ads account and start researching your keywords: the foundation of all great advertisements. After he demonstrates how to set up a new campaign and write your first ad, instructor Brad Batesole shows how to use Google Ads reporting and Google Analytics to monitor your campaign's performance. Brad also shows how to optimize ads to get more clicks, conversions, and ultimately more return on your investment (ROI). Plus, go beyond the basics with ad extensions—a feature which can increase your click-through rate by several percentage points.",Course,2021-05-18 07:51 UTC,N/A,false,N/A,
Learning C#,"The C# language got its start on Windows, but today you can find it almost everywhere.  Whether it’s running on the cloud, to desktops with MacOS and Linux, to mobile operating systems like Android and iOS, C# has grown into a mature, powerful language for almost any programming purpose.
In this course, Joe Marini dives into the fundamentals of C#, starting with a basic overview of language constructs like program flow and data types. He then gets into more advance topics such as functions, object-oriented programming techniques, and string processing. After this course, you’ll have a better understanding of C#, and how its combination of power, simplicity, and expressiveness make it an extremely versatile programming language that can be used for almost any scenario.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2024-04-11 14:03 UTC,N/A,false,N/A,
1 Person Crew Video Productions: 1 Up and Running,"As budgets and deadlines tighten, streamlining production and post-production workflows becomes a matter of profitability, and wearing multiple hats is no longer optional. Filmmakers must learn how to perform almost every job on set themselves. Becoming more resourceful and working more efficiently while achieving maximum results is the new normal. In this course you can learn how to produce professional videos with very little gear, tight deadlines, shoestring budgets—and no crew.<br><br>

Eduardo evaluates the effectiveness of traditional video production techniques and simplifies them down to a streamlined amount of gear, tactical steps, and actionable advice. The course covers valuable insights on planning, shooting, and producing video projects, from defining your project's objectives to delivering it to clients and getting paid. Each lesson is designed to help new and experienced video makers alike do more with less, while getting great results.

This course was created by Emmy Award-winning filmmaker Eduardo Angel. We are pleased to host this training in our library.",Course,2021-06-08 10:25 UTC,N/A,false,N/A,
InDesign Tips for Design Geeks,"<p>Anne-Marie “Her Geekness” Concepcion, co-founder of InDesign Secrets and Adobe-certified Creative Cloud Design and Layout instructor, hosts this weekly series exploring new ways to use InDesign and related software for creative work. Anne-Marie presents answers, how-tos, and cool discoveries for amateurs, pros, and everyone in between. She pulls in tips related to other software that designers use frequently, such as Acrobat, Photoshop, Google Docs, InCopy, and more, with a focus on how techniques in these programs can make your work in InDesign faster, easier, and more fun.</p>

<p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2025-04-08 15:30 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:597987,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:597987,Course,2018-10-26 14:02 UTC,N/A,false,N/A,
Sketch: UX for Instructional Design,"Instructional designers seek to make effective learning materials. Having an application that both facilitates document creation and centralizes all of your designs as templates makes that goal all the more achievable. This course explores just such an application—Sketch. With Sketch, you can easily design handouts, worksheets, infographics, and more. 
<br><br>
In this course, John-Paul Ballard shows you how Sketch fits into your curriculum design workflow. He demonstrates how to use the design features to make icons, shapes, and tables. Then, he takes you right into practical uses, showing you how to make a rubric, a syllabus, a handout, and how to save these as reusable templates. He also discusses how layout and intuitive design improves the user experience for your learners and is complementary to an instructional systems design workflow.",Course,N/A,N/A,true,N/A,
Figure Drawing: Tonal Rendering,"How can you make a good figure drawing into a great figure drawing? Give it drama with tonal rendering. This course—taught on the iPad Pro—provides you with step-by-step demonstrations that can help you enhance the dimensionality and drama of your figure drawings using tonal rendering techniques. Instructor Amy Wynne starts by demonstrating how to create a five-part tonal gradient, and then shows how to apply this to simple 3D geometric shapes such as an egg, a cylinder, and a block; these shapes serve as the building blocks for constructing your figures. Amy also shows how to build the figure from the inside out—from structure to tonality—and apply silhouette and camouflage using inspiring master drawings as examples. Upon completing this course, you'll be equipped with a few simple techniques that can help you add beautiful lights and shadows to your figure sketches.",Course,2020-01-14 18:47 UTC,N/A,false,N/A,
Cert Prep: LEED Green Associate,"Are you both passionate and  knowledgeable about the latest green building principles and practices? If so, earning the LEED Green Associate credential can help you advance your career by demonstrating your expertise in sustainable design, construction, and building operations. In this course, instructor Fulya Kocak Gin gives you an overview of what to expect on the LEED Green Associate exam and provides background on the key topics and concepts you need to know. Fulya covers alternative transportation options, sustainable site strategies, ways to reduce energy and water use, renewable energy solutions, enhanced indoor air strategies, and much more. Plus, she includes a practice exam so you can solidify your understanding of the concepts covered in this course.",Course,2025-04-18 05:04 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:188429,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:188429,Course,2018-03-05 22:50 UTC,N/A,false,N/A,
Starting a Memorable Conversation,"Both in business and personal life, having the skill to approach a stranger or strike up a conversation with an acquaintance in a new context can be very useful. Memorable conversations can open doors and change career trajectories, but being the person to speak first doesn’t come naturally to all of us. In this course, author Tatiana Kolovou shares a formula for starting meaningful exchanges in any situation and teaches how to conduct an appropriate and memorable conversation. You can also learn about how to avoid common difficulties and find the right way to end a conversation.",Course,2021-02-18 20:12 UTC,N/A,false,N/A,
Raspberry Pi Essential Training (2022),"In this introductory class to the Raspberry Pi, technologist Mark Niemann-Ross explains the vocabulary associated with this single-board computer, then shows you how to plug in peripherals and perform basic computing tasks. Mark first describes how the Raspberry Pi compares to other computers and how it can be used as a media server, musical instrument, robotics controller, and more. He covers the members of the Raspberry Pi family and how to select the one that is right for you and the accessories that you need to use it effectively. Mark walks you through connecting your Raspberry Pi to wi-fi and ethernet, as well as getting it started. After examining operating systems for Raspberry Pi, he goes into why a virtual networking computer (VNC) for Raspberry Pi can be very helpful and how you can enable and use one. Mark discusses sound on your Raspberry Pi and how to use and control the GPIO board. After going over Raspberry Pi hardware, he dives into the Raspberry Pico microcontroller, then finishes up with how to run the Raspberry Pi OS on other computers.
<br><br>
Note: This course was created by Mark Niemann-Ross. We are pleased to host this training in our library.",Course,2023-03-10 10:19 UTC,N/A,false,N/A,
Learning to Shoot with Strobes,"Are you looking to take your studio photography to the next level? Do you want to go beyond using natural light and on-camera flashes to add depth and character to your photos? In this course, Abba Shapiro gives you a brisk look at using strobe lights in a studio setting—lessons that easily translate to the field and locations, inside and out. Learn why shooting with strobes and continuous lighting makes such a big impact on your photographs, and how to buy a good, affordable starter kit. Abba also shows how to set your gear up, trigger your lights, and make modifications with accessories like reflectors, umbrellas, and softboxes. Finally, learn how to use strobes for portraits and headshots with one-, two-, and three-light set-ups.",Course,2022-02-16 11:35 UTC,N/A,true,N/A,
Hands-On with Apache Iceberg,"<p>Iceberg brings the reliability and simplicity of SQL tables to big data, while also making it possible to safely work with engines like Apache Spark at the same time. In this course, learn how to use Apache Spark and Dremio to get hands-on experience with creating, querying, and maintaining tables in Apache Iceberg. Develop a more comprehensive understanding of Apache Iceberg and its pivotal role in modern data lakehouse architectures. Learn how to configure an Iceberg catalog, create Apache Iceberg tables, insert records into tables, query tables, run maintenance operations, and much more. Upon completing this course, you’ll also know how to query different metadata tables in both Spark and Dremio.</p><p>This course was created by Dremio. We are pleased to host this training in our library. <a href=""https://www.dremio.com/get-started/?utm_source=LinkedIn%20Learning&utm_medium=influencer&utm_campaign=pag&utm_content=evangelism"" target=""_blank"">Visit Dremio.</a>
</p>",Course,2024-11-07 12:21 UTC,N/A,false,N/A,
Digital Strategy,"Digital disruption is changing every business. Only a decade ago, the auto industry was well-defined by players such as GM, Ford, and Toyota. Today, these companies compete with newcomers such as Uber and Lyft, which sell transportation services—not cars. Similar dynamics are playing out in retail, banking, education, and even construction. This course examines how digitization reshapes the opportunities and threats facing companies—and how you can harness the power of digitization to win. Join Anil Gupta and Haiyan Wang to learn how to develop your own digital strategy. Discover how to harness artificial intelligence, use new platforms to beat the competition, and digitize products, services, and other elements of the value chain: design, development, sourcing, production, and distribution.",Course,2021-02-16 03:46 UTC,N/A,false,N/A,
Learning SketchUp Free (2021),"Are you a 3D artist with abundant ideas and a less-than-abundant budget? SketchUp Free offers a subset of the features found in the powerful SketchUp Pro, but, as the name suggests, it’s free. In this course, instructor George Maestri introduces you to what you can do with this browser-based 3D modeling and visualization tool. George walks you through the SketchUp Free interface. He shows you a variety of tools you can use to draw in SketchUp, plus several advanced drawing techniques. George explains how to select, move, scale, and rotate objects, as well as how to manipulate faces and edges to reshape objects. He shows you some techniques to keep your SketchUp scenes organized. In creating 3D scenes, it’s important to measure and align objects, and George shows you the tools you need to do this in SketchUp Free. He explains how to create new materials from textures, then concludes by explaining ways to export your work.",Course,2021-07-12 12:27 UTC,N/A,false,N/A,
Apple Watch Tips and Tricks (2019),"Apple Watch has evolved. The latest watchOS makes it even more convenient to manage messages, activities, and notification directly from your device. But even if you wear one daily, you might not be using all of its most helpful features. Get the most out of your Apple Watch with these practical tips and tricks. Garrick Chow explores the features and capabilities of the latest Apple watchOS, including messaging, app management, voice control with Siri, staying fit and safe, and other valuable pointers. He also shows how to customize your unlock settings and haptic strength, so the Apple Watch responds perfectly to your touch.",Course,2020-12-12 12:21 UTC,N/A,false,N/A,
Excel: Financial Functions in Depth (2022),"Analyzing financial data can seem intimidating, but Microsoft Excel has a wide range of functions to perform these calculations quickly and easily. In this course, Microsoft  MVP Danielle Stein Fairhurst shows you how and when to use each of the financial functions available in Excel. Danielle covers evaluating loans, payments, and interest; calculating depreciation; determining rates of return; calculating prices and yields as well as applying some of the new features of Excel for Microsoft 365 to financial data. Plus, she guides you through combining these functions to perform financial analysis.",Course,2024-12-26 08:17 UTC,N/A,false,N/A,
Revit: Advanced Techniques for Importing CAD Drawings,"Autodesk Revit Architecture is an industry-leading software for 3D architectural conceptual modeling and BIM drafting and scheduling. In this course, Shaun Bryant takes you through how to work with AutoCAD drawings that are imported or linked into Revit Architecture, using the standards and settings that come through from AutoCAD into Revit. To help you grasp the advanced techniques covered in this course, Shaun starts with a blank Revit project, and demonstrates how to import and link a CAD drawing, and use the CAD data to begin developing your Revit model. Throughout the course, he shares tips and tricks for working with the dialog boxes that you use to link your CAD drawings.",Course,2022-02-21 17:38 UTC,N/A,false,N/A,
"Japanese, Part 4: Describing Actions and Respecting Customs","<p>In this course, Yuki Sasaki Caldwell—an Instructor of Japanese Language in the Department of Comparative Literature and Intercultural Studies at the University of Georgia (UGA)—guides you through how to describe actions in Japanese and how to observe some customs related to the Japanese language and culture. Grasp the important vocabulary you’ll need to express “from” and “to,” as well as the appropriate sentence structure used to express a sequence of actions. Unlike English sentences, which have more flexibility, Japanese sentences always begin with whichever action happens first. Plus, learn about the Japanese ryokan, a traditional-style inn, and continue writing in kanji. </p>

<p>This course was created by The Great Courses. We are pleased to host this training in our library.</p>",Course,2025-08-11 12:44 UTC,N/A,false,N/A,
Leading with Emotional Intelligence (2018),"Emotions are all around us in the office, and it's important for leaders to understand how to harness them to cultivate productivity and positive relationships. In this course, Britt Andreatta shares how to boost your emotional quotient (EQ) to better lead teams, work with peers, and manage up. Learn what emotional intelligence is and how it factors in at work, and discover concrete techniques for raising your own EQ. This includes perceiving yourself accurately, exercising emotional self-control, understanding and managing your triggers, and developing empathy. Then, turn those lessons around to build your awareness of others and become a more inspiring—and effective—leader.",Course,2021-02-08 12:35 UTC,N/A,false,N/A,
Photoshop for Fashion Design: 2 Rendering Techniques,"Harness the power of Adobe Photoshop to render professional-looking fashion and costume illustrations. In this course, the second installment in the Photoshop for Fashion Design series, Robin Schneider goes beyond the basics, sharing more specific Photoshop techniques that can help you quickly bring your ideas to life. Discover how to add textures like wool, flannel, denim, and leather using filters. See how to render faces and create custom brushes to paint fur, hair, and lace in your designs. Plus, get tips for making your designs pop, including how to paint quick and easy watercolor illustrations, make a brush to illustrate gold lamé, and add drama to your layouts.",Course,2022-05-01 18:52 UTC,N/A,true,N/A,
Video Production: Location Lighting,"Good lighting can transform any scene, regardless of your camera and location. Of any production expense, it's where you get the most value. Develop the skills you need to light any shooting situation in this course with audio and video professional Anthony Q. Artis. Anthony introduces you to a few extra pieces of gear that will make your job easier and then shows how to light indoor and outdoor spaces, supplement daylight, and work with what you've got, whether it's dimmer switches or lampshades.",Course,2020-04-08 11:33 UTC,N/A,false,N/A,
Computer and Text Neck Stretching Exercises,"Our necks bear the brunt of the stress when we spend too much time looking at screens. Taking a break is the best solution, but sometimes we can’t afford to go offline. Luckily, with simple corrections to your posture and typing habits, you can eliminate injury to this sensitive area. Join Dr. Baxter Bell for this series of exercises that can help relieve and prevent neck pain. Discover the proper way to stretch your back and neck, lengthen your neck muscles and upper spin, deepen your breath, and get the blood flowing through your body. Plus, learn a simple exercise that will benefit your neck and your wrists.<br><br>

Note: This course was created and produced by <a href=”https://www.desk-yogi.com” target=”_blank”>Desk Yogi</a>.",Course,2020-10-26 14:51 UTC,N/A,false,N/A,
Learning npm: A Package Manager,"<p>npm is an indispensable part of every developer's toolbox. It's the package manager for JavaScript and JavaScript frameworks such as Node.js, enabling developers to easily share and re-use code. In this course, Emmanuel Henri teaches developers how to work with npm commands to install and manage project dependencies. He starts with showing how to install npm, and details all the basic tools you can use with npm, such as adding, updating, or removing a package. Emmanuel then shows you how to take your skills to the next level, taking a dive deep into advanced features like npm cache, audits, scripting, and more.</p>
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out the “Using GitHub Codespaces with this course” video to learn how to get started.</p>",Course,2024-08-26 14:56 UTC,N/A,false,N/A,
Pro Video Tips,"<i>Pro Video Tips</i> is designed for busy videographers like you. This course brings you tips on everything from controlling reflections to hiding mics. Host Anthony Q. Artis covers shooting techniques for particular video challenges like portraits, tools to help you control light and judge exposure, and advice for the traveling videographer, such as putting together a great lens kit or packing a truck.",Course,2019-06-05 05:32 UTC,N/A,false,N/A,
Purchasing Foundations,"<p>Purchasing departments add value and maximize savings for their organizations. In this course, supply chain expert and professor Steven Brown outlines the purchasing process and provides guidance for evaluating, selecting, and managing suppliers. He also addresses the roles of cost management and strategic sourcing, and the legal and ethical considerations involved. Plus, learn about special topics such as indirect spend on services (including transportation and utilities), resourcing, and supply chain performance management. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-procurement-professional-certificate"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2025-02-27 15:32 UTC,N/A,false,N/A,
Managing Your Emotions at Work,"Everyone has emotions. Now, more than ever, we're encouraged to bring those emotions to work. However, knowing how to manage them in a dynamic and complex work environment is a skill. Feelings can get in the way of our effectiveness, communication, and even reputation if they're not handled effectively. In this course, Jay Fields, an expert in emotional regulation, introduces learners to an embodied way to relate to and manage their emotions. Blending conceptual learning with experiential activities, this course offers accessible practices that you can employ in real time in emotional situations. Follow along and discover how your body influences your mind's ability to regulate emotions, how to practice self-empathy and acknowledge your emotions, and how to responsibly express emotion at work. Plus, learn how to engage in practices such as orienting, grounding, and centering that allow you to become a more emotionally intelligent, resilient person—at work and at home.",Course,2021-03-16 22:13 UTC,N/A,false,N/A,
Career Wellness Nano Tips with Shadé Zahrai,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds.<br><br>In this course, get some quick tips on how to better manage your work life and career. Check out some practical advice on workload prioritization, emotional self-regulation, and managing overwhelming work experiences. Also learn how to bring empathy to work, receive feedback with confidence, and even find out the real reason behind procrastination.",Course,2022-08-16 10:43 UTC,N/A,false,N/A,
Brand and Marketing Integration,"When the concept of marketing integration comes up, many people automatically think about external customer marketing; however, external approaches—advertising, social media, and event marketing, for example—are just one piece of the puzzle. In this course, Dina Shapiro shares a comprehensive brand and marketing integration approach that encompasses all external and internal stakeholders and touchpoints. Along with going over external marketing, Dina covers three other important types of integration: vertical, horizontal, and internal. She also explores common roadblocks and shows how to incorporate integration strategies into your own company.",Course,2022-01-10 16:23 UTC,N/A,false,N/A,
CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2811722,CONTENT METADATA NO LONGER EXISTS - urn:li:lyndaCourse:2811722,Course,2020-05-15 08:35 UTC,N/A,false,N/A,
Shane Snow on Storytelling,"Storytelling is a powerful way to make people care about products, brands, and causes. It can facilitate sales, marketing, presentations, and about any other task that requires a human connection. LinkedIn Influencer and best-selling business author Shane Snow shares his approach to crafting compelling stories. Learn how to make people care with personal stories, brand stories, or any other kind of story—using the core elements of narrative and established storytelling frameworks. Find out how to maximize connections with your audience and create a culture of storytelling throughout your organization.",Course,2021-12-15 15:45 UTC,N/A,false,N/A,
Brad Feld on Validating Your Startup Idea,"So you have an idea for a business. Maybe you have lots of ideas, with lots of potential. How do you focus on the opportunity that is going to be the most successful and the best use of your time? Brad Feld is a serial entrepreneur turned investor, who has helped build 100s of companies over the last 30 years, including Techstars, his startup accelerator. In this course, he walks through the preliminary steps that any entrepreneur needs to follow to determine whether an idea has merit: whether it is significant, meaningful, and disruptive. He provides a framework to evaluate an idea and its risks—as well the costs of not pursuing the idea at all. He then explains, in detail, how to evaluate your opportunity, your product, your market, and your team. These steps lay the groundwork critical to a successful startup, resulting in a refined and well-researched idea that you, your partners, your customers, and potentials investors can all get behind.",Course,2022-01-04 16:04 UTC,N/A,false,N/A,
Designing Emotion: How to Use Design to Move People,"Great designers are empaths. They harness the power of emotional response to connect to audiences and inspire action. If you want your designs to move people, you need to understand the role emotion plays in your work. Join Stefan Mumaw for this fun and frank exploration, which probes the human condition for lessons that can be used in any design project: from branding campaigns to product packaging. Stefan explains how emotion, rational thought, and culture impact our reactions to design, and how you can use different choices and tools—layout, typography, color, and more—to trigger different emotions and achieve connection with your brand, product, or service.",Course,2021-06-11 17:04 UTC,N/A,false,N/A,
ZBrush: Tips and Tricks,"Looking to work smarter with ZBrush? In this weekly series, Emmanuel Henri digs into this popular digital sculpting tool, helping you enhance your ZBrush skill set, one tip at a time. Each installment covers a specific topic, including how to work with key features such as ZRemesher and Panel Loops, as well as how to leverage some of the newer ZBrush tools, including PolyGroupIt. Along the way, Emmanuel also shares best practices and helps to acquaint you with popular workflows.",Course,2022-09-22 06:54 UTC,N/A,false,N/A,
